round,timestamp,hit_rate,miss_rate,latency_mean,latency_p95,latency_p99,bandwidth_total_bytes,avg_cache_utilization,redundancy_mean
1,1763690610.973907,0.0,100.0,0.04619264602661133,0.05159153938293457,0.05160305976867676,13587,0.0,3.0
1,1763690676.497105,18.96551724137931,81.03448275862068,0.01060403009940838,0.03598076105117798,0.037126028537750246,50031,0.0,4.083333333333333
2,1763690676.924648,15.425531914893616,84.57446808510637,0.013565706445815716,0.03486372232437134,0.03719828605651855,68992,0.0,4.5
3,1763690677.3544278,12.25296442687747,87.74703557312253,0.015504990641778637,0.03513269424438476,0.037099475860595706,88155,0.0,4.666666666666667
4,1763690677.8897972,10.248447204968944,89.75155279503106,0.016192527291197214,0.033851230144500734,0.0370070505142212,107381,0.0,5.081632653061225
5,1763690678.3203042,8.60759493670886,91.39240506329114,0.016221141815185545,0.03344800472259521,0.03680550575256348,127212,0.0,5.36734693877551
1,1763690690.9416,26.15262321144674,73.84737678855325,0.018657533845765035,0.10074055194854731,0.12617051362991336,454346,0.0,4.588235294117647
2,1763690691.415566,24.059662775616083,75.94033722438391,0.029588090615822956,0.11128762960433959,0.1310889101028442,520585,0.0,4.131578947368421
3,1763690691.9001129,22.39048134126555,77.60951865873446,0.03706333262008741,0.11483592987060547,0.13523822784423828,588985,0.0,4.328125
4,1763690692.421346,21.554934823091248,78.44506517690876,0.044435913114352375,0.12159616947174066,0.14545630216598518,657418,0.0,4.354166666666667
5,1763690692.959924,20.87378640776699,79.12621359223301,0.046901710596671,0.12151215076446525,0.14536961317062377,724884,0.0,4.464968152866242
6,1763690693.488676,20.187793427230048,79.81220657276995,0.05128142729525361,0.12494964599609375,0.14908825874328624,793605,0.0,4.730061349693251
7,1763690694.007447,19.883230619526433,80.11676938047356,0.053804710473559565,0.1254627704620361,0.14880498886108398,861824,0.0,4.853801169590644
8,1763690694.4956129,19.634972034147776,80.36502796585222,0.055414512082342195,0.12453908920288086,0.14775950431823728,929891,0.0,5.132183908045977
1,1763690712.1011682,46.01077698592039,53.98922301407961,0.00646468168670108,0.022648239135742168,0.048920145034789794,2297719,0.0,4.12051282051282
2,1763690721.389118,42.31877100336054,57.68122899663947,0.17295503974018106,1.6762375950813293,2.425851745605471,3117457,0.0,4.118279569892473
3,1763690727.581693,41.969191964687866,58.030808035312134,0.13145766291744204,1.35052490234375,2.264861822128296,3934094,0.0,4.331360946745562
4,1763690735.760345,41.0958904109589,58.9041095890411,0.4115404657411604,2.5009868383407587,3.402419633865357,4731240,0.0,4.580602883355177
5,1763690742.107832,41.44409651869589,58.55590348130411,0.34066335544655274,2.384988927841186,3.2497393703460644,5564530,0.0,4.956004756242568
6,1763690748.418869,41.89196255817602,58.10803744182398,0.2910805240133994,2.2445522308349597,3.057079219818113,6375391,0.0,5.343784994400896
7,1763690754.6848252,42.129692832764505,57.87030716723549,0.2540615406839243,2.1522175073623653,3.025548915863036,7191471,0.0,5.774891774891775
8,1763690761.174207,42.46972196515511,57.53027803484488,0.22530619448561767,2.0086287021636937,3.007290964126586,8017128,0.0,6.122384937238493
9,1763690767.315854,42.755293100965005,57.244706899035,0.20222836604950048,1.8828781962394698,2.9865463399887084,8834376,0.0,6.499492385786802
10,1763690775.368673,42.66560730956401,57.33439269043599,0.3229886253749807,2.3815366268157927,3.248567428588867,9643342,0.0,6.861553784860558
11,1763690785.2635362,42.72385206032611,57.27614793967389,0.42691060727193053,2.605879974365234,3.504156360626219,10445206,0.0,7.200783545543585
12,1763690791.517494,43.059147644214555,56.94085235578545,0.3927446659874302,2.52267507314682,3.46885217666626,11268661,0.0,7.556949806949807
1,1763691686.21471,0.0,0.0,0.0,0.0,0.0,13645,0.0,0.0
