round,timestamp,hit_rate,miss_rate,latency_mean,latency_p95,latency_p99,hop_latency_mean,bandwidth_total_bytes,avg_cache_utilization,redundancy_mean
1,1763782873.5781498,0.0,100.0,0.3584148049941791,1.0827127933502156,1.5993154144287107,5.273563218390804,3666399,0.0,0.0
2,1763782876.530448,0.0,100.0,0.44658503388345794,1.516403841972351,1.9129120683670042,5.3012264433143885,3870839,0.0,0.0
3,1763782879.173886,0.0,100.0,0.49162160115688425,1.563650131225586,1.907447910308838,5.335542667771334,4074843,0.0,0.0
4,1763782881.871428,0.0,100.0,0.5357481641435343,1.590728998184204,1.8914170980453493,5.358476093070826,4279029,0.0,0.0
5,1763782884.9563892,0.0,100.0,0.5755989908631878,1.663252019882202,1.9443360996246335,5.37610302885762,4483208,0.0,0.0
6,1763782888.0399191,0.0,100.0,0.607498416373896,1.7104665398597716,1.9733434057235717,5.394007155635062,4687243,0.0,0.0
7,1763782890.684507,0.0,100.0,0.629613884108035,1.6964144706726072,1.9708969640731813,5.403866358478672,4891616,0.0,0.0
8,1763782893.43137,0.0,100.0,0.6511547617782194,1.6833015918731684,1.9642005348205567,5.4169632265717675,5095974,0.0,0.0
9,1763782896.43182,0.0,100.0,0.6795455609956185,1.7119797348976136,1.9883273649215636,5.425543885971493,5300049,0.0,0.0
10,1763782899.101141,0.0,100.0,0.6956997740355815,1.7006795406341553,1.974599981307983,5.432721440028516,5504346,0.0,0.0
11,1763782901.548346,0.0,100.0,0.7033958215669865,1.6925609111785889,1.9730899333953857,5.443314692425012,5708630,0.0,0.0
12,1763782904.0069928,0.0,100.0,0.7155493888531178,1.6842785358428944,1.970445623397827,5.449474535165724,5912788,0.0,0.0
13,1763782906.872343,0.0,100.0,0.7391153383628049,1.6846199989318846,1.9636620712280266,5.460960269980058,6117573,0.0,0.0
14,1763782909.491842,0.0,100.0,0.7474464604418652,1.675703525543213,1.9532817840576158,5.467281510759771,6322182,0.0,0.0
15,1763782911.907226,0.0,100.0,0.7531917895941206,1.66659517288208,1.946620159149169,5.475769068689423,6526360,0.0,0.0
16,1763782915.0093498,0.0,100.0,0.7743804607813098,1.7111175060272217,1.9766895866394047,5.477551570715923,6730781,0.0,0.0
17,1763782917.529133,0.0,100.0,0.7805461376824236,1.6997106313705443,1.973918442726135,5.481769819644479,6934833,0.0,0.0
18,1763782920.078814,0.0,100.0,0.7872261262841548,1.6923048496246336,1.9722164154052735,5.4903282166479475,7139362,0.0,0.0
19,1763782922.679659,0.0,100.0,0.7947051171913867,1.6854695081710813,1.9677570104599018,5.498377988705996,7343811,0.0,0.0
20,1763782925.111797,0.0,100.0,0.8003169952952445,1.6789002418518066,1.9647656083106995,5.504057500579643,7548184,0.0,0.0
21,1763782927.528189,0.0,100.0,0.8057210810660353,1.6708175659179683,1.9633604860305802,5.5104785386080914,7752591,0.0,0.0
22,1763782930.295676,0.0,100.0,0.813006305020422,1.6699548244476314,1.9558699798583958,5.5123436650353455,7956749,0.0,0.0
23,1763782932.840579,0.0,100.0,0.8161709647461391,1.6654278874397277,1.9522645092010482,5.516881198565098,8160993,0.0,0.0
24,1763782935.3123798,0.0,100.0,0.8171397652917382,1.6593364477157593,1.9473335981369015,5.523385528605056,8365344,0.0,0.0
